arm,horizon,outer_fold,calibration,margin,sigmoid_eligible,sigmoid_eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,primary_purge_verified,secondary_calibration_purge_verified
robust_hurst_regime,5,outer_01,none,0.05,True,eligible,329,6,323,680,674,675,0,2,True,True,True
robust_hurst_regime,5,outer_02,none,0.05,True,eligible,645,6,639,996,990,991,0,2,True,True,True
robust_hurst_regime,5,outer_03,none,0.0,True,eligible,961,6,955,1312,1306,1307,0,2,True,True,True
robust_hurst_regime,5,outer_04,sigmoid,0.0,True,eligible,1277,6,1271,1628,1622,1623,0,2,True,True,True
robust_hurst_regime,5,outer_05,none,0.0,True,eligible,1593,6,1587,1944,1938,1939,0,2,True,True,True
robust_hurst_regime,10,outer_01,sigmoid,0.0,True,eligible,326,11,315,687,676,677,0,2,True,True,True
robust_hurst_regime,10,outer_02,none,0.0,True,eligible,640,11,629,1001,990,991,0,2,True,True,True
robust_hurst_regime,10,outer_03,none,0.0,True,eligible,955,11,944,1316,1305,1306,0,2,True,True,True
robust_hurst_regime,10,outer_04,sigmoid,0.0,True,eligible,1270,11,1259,1631,1620,1621,0,2,True,True,True
robust_hurst_regime,10,outer_05,none,0.05,True,eligible,1584,11,1573,1945,1934,1935,0,2,True,True,True
robust_hurst_regime,20,outer_01,sigmoid,0.0,True,eligible,319,21,298,700,679,680,0,2,True,True,True
robust_hurst_regime,20,outer_02,none,0.0,True,eligible,631,21,610,1012,991,992,0,2,True,True,True
robust_hurst_regime,20,outer_03,none,0.0,True,eligible,943,21,922,1324,1303,1304,0,2,True,True,True
robust_hurst_regime,20,outer_04,sigmoid,0.05,True,eligible,1255,21,1234,1636,1615,1616,0,2,True,True,True
robust_hurst_regime,20,outer_05,sigmoid,0.05,True,eligible,1567,21,1546,1948,1927,1928,0,2,True,True,True
